no,symbol,system,side,signal_type,entry_date,entry_price,stop_price,score_key,score,score_rank,score_rank_total,reason,atr10,atr20,atr40,atr50,alloc_weight,shares,position_value,system_budget,remaining_after,entry_type,entry_price_final,entry_order_price,initial_stop_price,profit_target_price,use_trailing_stop,trailing_stop_pct,max_holding_days,allow_re_entry,entry_atr,profit_target_atr,max_exit_date,signal_date,risk_per_share,total_risk,risk_pct_position
1,ABVX,system1,long,buy,2025-10-21,91.49,73.3,roc200,1149.86,1.0,26.0,ROC200が1位（全26銘柄中）のため,,3.86,,,0.25,12,1097.88,12500.0,11402.12,market,92.6,,73.3,,True,0.25,0,True,3.86,0.0,,2025-10-21,19.3,231.6,20.84
2,ACMR,system1,long,buy,2025-10-21,39.79,28.31,roc200,163.51,3.0,26.0,ROC200が3位（全26銘柄中）のため,,2.03,,,0.25,22,875.38,11402.12,10526.74,market,38.46,,28.31,,True,0.25,0,True,2.03,0.0,,2025-10-21,10.15,223.3,26.39
3,ABBV,system1,long,buy,2025-10-21,232.06,209.1,roc200,30.59,4.0,26.0,ROC200が4位（全26銘柄中）のため,,4.38,,,0.25,4,928.24,10526.74,9598.5,market,231.0,,209.1,,True,0.25,0,True,4.38,0.0,,2025-10-21,21.9,87.6,9.48
4,ACHR,system1,long,buy,2025-10-21,11.98,7.07,roc200,22.87,7.0,26.0,ROC200が7位（全26銘柄中）のため,,0.96,,,0.25,39,467.22,9598.5,9131.28,market,11.87,,7.07,,True,0.25,0,True,0.96,0.0,,2025-10-21,4.8,187.2,40.44
5,ACLS,system1,long,buy,2025-10-21,83.88,65.38,roc200,20.05,8.0,26.0,ROC200が8位（全26銘柄中）のため,,3.72,,,0.25,9,754.92,9131.28,8376.36,market,83.98,,65.38,,True,0.25,0,True,3.72,0.0,,2025-10-21,18.6,167.4,22.15
6,ABT,system1,long,buy,2025-10-21,129.51,114.84,roc200,14.5,11.0,26.0,ROC200が上位のため,,2.72,,,0.25,6,777.06,8376.36,7599.3,market,128.44,,114.84,,True,0.25,0,True,2.72,0.0,,2025-10-21,13.6,81.6,10.59
7,ABAT,system3,long,buy,2025-10-21,6.72,2.45,drop3d,0.25,1.0,14.0,3日下落率が1位（全14銘柄中）のため,1.52,,,,0.25,65,436.8,12500.0,12063.2,limit,6.25,6.25,2.45,6.5,False,0.0,3,True,1.52,0.0,2025-10-24,2025-10-21,3.8,247.0,60.8
8,ADM,system4,long,buy,2025-10-21,63.19,61.4,rsi4,66.23,,,SPY上昇局面の押し目候補のため,,1.7,1.55,,0.25,19,1200.61,12500.0,11299.39,market,63.72,,61.4,,True,0.2,0,True,1.55,0.0,,2025-10-21,2.33,44.18,3.65
9,SPY,system4,long,buy,2025-10-21,671.3,657.45,rsi4,68.31,,,SPY上昇局面の押し目候補のため,,6.96,6.58,,0.25,1,671.3,11299.39,10628.09,market,667.32,,657.45,,True,0.2,0,True,6.58,0.0,,2025-10-21,9.87,9.87,1.48
10,ACM,system4,long,buy,2025-10-21,133.65,128.41,rsi4,69.94,,,SPY上昇局面の押し目候補のため,,2.59,2.42,,0.25,7,935.55,10628.09,9692.54,market,132.04,,128.41,,True,0.2,0,True,2.42,0.0,,2025-10-21,3.63,25.41,2.75
11,ADI,system4,long,buy,2025-10-21,246.22,234.1,rsi4,77.02,,,SPY上昇局面の押し目候補のため,,5.96,5.85,,0.25,3,738.66,9692.54,8953.88,market,242.87,,234.1,,True,0.2,0,True,5.85,0.0,,2025-10-21,8.78,26.33,3.61
12,A,system4,long,buy,2025-10-21,143.0,138.16,rsi4,80.42,,,SPY上昇局面の押し目候補のため,,3.31,3.23,,0.25,6,858.0,8953.88,8095.88,market,143.0,,138.16,,True,0.2,0,True,3.23,0.0,,2025-10-21,4.84,29.07,3.39
13,AAPL,system4,long,buy,2025-10-21,262.24,248.32,rsi4,82.16,,,SPY上昇局面の押し目候補のため,,5.18,5.04,,0.25,3,786.72,8095.88,7309.16,market,255.88,,248.32,,True,0.2,0,True,5.04,0.0,,2025-10-21,7.56,22.68,2.95
14,ACI,system5,long,buy,2025-10-21,19.66,17.42,adx7,59.13,,,ADXが強く、反発期待のため,0.55,,,,0.25,63,1238.58,12500.0,11261.42,limit,19.07,19.07,17.42,19.62,False,0.0,6,True,0.55,0.55,2025-10-27,2025-10-21,1.65,103.95,8.65
